round	source_label	source_base	source_commit	target	target_commit	target_description	delta_status	path	source_mode	source_blob	target_mode	target_blob	comparison	later_owner	later_commits	invariant	detail
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/tests/run-lineage.test.mjs	100644	3e57f12a98582afb868ae51038490deff9868c3b	100644	3e57f12a98582afb868ae51038490deff9868c3b	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/tests/runtime.test.mjs	100644	7b9e6838594b40949e0aaeff8678423b4c9eb282	100644	7b9e6838594b40949e0aaeff8678423b4c9eb282	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/tests/settings-preferences.test.mjs	100644	6e636a06cc65088c770887152908cf4cd9ec2b3f	100644	6e636a06cc65088c770887152908cf4cd9ec2b3f	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	app/tests/skin-policy.test.mjs	100644	8a196ea33443dcc68f1eb9b57dfadaf3a76a469f	100644	8a196ea33443dcc68f1eb9b57dfadaf3a76a469f	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	app/tests/skin-presets.test.mjs	100644	64f548440ee5f7eed19ebf64b5aae298eb3de844	100644	64f548440ee5f7eed19ebf64b5aae298eb3de844	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/tests/static-web-manifest.test.mjs	100644	7f4dd2bc0d69dc78dae39928e816bbf5037a6891	100644	eebfe052536fd8a20e17ef076f7b607e948419ed	authorized_later	ICON	3667641179e2829151004293ae921b5e0a17d8dd	icon allowlist/sprite/manifest/source/hash parity tests	later owner/hunk recorded in shared-invariants.tsv
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/tests/work-summary-consistency.test.mjs	100644	6da5ca781515393188dc06736409e752793a36b1	100644	6da5ca781515393188dc06736409e752793a36b1	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/web/app.mjs	100644	61dc2fe6b6965971700605c32d3934ddcdf928ab	100644	61dc2fe6b6965971700605c32d3934ddcdf928ab	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/web/attention-view.mjs	100644	2d0a26b570cfe280887e0f571f00d1e3fa7246ca	100644	051c814a46653507c73ecd95b801bac76c4af1e9	authorized_later	ATT	9db6fc4362a07dc8ff20e1914e2ac471f20b62c1	typed action descriptors, six views, refusal/focus/retry semantics	later owner/hunk recorded in shared-invariants.tsv
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/web/home-view.mjs	100644	eda427e1638ee63c7cc2a4c5a739f610826952da	100644	ffe8ebfb561c81c2ecbc0cecda98c041e62c003a	authorized_later	FE05a	0879b32727a379d59de3499c603e84cb8b4e6e22	M-15/M-16 shared gutter and action anatomy	later owner/hunk recorded in shared-invariants.tsv
